ano_eleicao,cargo,sg_uf,delta_esperado,descricao
2000,VICE-PREFEITO,BR,NA,O cadastro de candidatos de 2000 do TSE omite a linha do vice de parte das chapas vencedoras; o banco registra apenas os vice-prefeitos presentes no arquivo (ver nota de cobertura).
2018,DEPUTADO ESTADUAL,PB,NA,"Genival Matias (ALPB, SAPL): registro com data de fim (2019-01-31) anterior ao inicio (2019-02-01); erro da fonte, mantido em exercicio_assembleias.csv e classificado como 'outro'."
2022,DEPUTADO ESTADUAL,TO,NA,"Hider Alencar (ALETO, SAPL): registro com data de fim (2022-01-31) anterior ao inicio (2022-07-05); erro da fonte, mantido em exercicio_assembleias.csv."
2014,DEPUTADO ESTADUAL,PB,NA,"Hervazio Bezerra (ALPB, SAPL, suplente): fim de exercicio mais de 60 dias apos o fim da legislatura; erro da fonte, mantido em exercicio_assembleias.csv."
2022,GOVERNADOR,AC,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (ac24horas.com) e fonte_2 (acrenews.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2022,VICE-GOVERNADOR,AC,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (ac24horas.com) e fonte_2 (acrenews.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2002,GOVERNADOR,AL,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (gazetadealagoas.com.br) e fonte_2 (folha.uol.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2002,VICE-GOVERNADOR,AL,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (gazetadealagoas.com.br) e fonte_2 (gazetadealagoas.com.br) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2022,GOVERNADOR,AM,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (acritica.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
2022,VICE-GOVERNADOR,AM,NA,"Sem fonte oficial, verbete do DHBB/CPDOC-FGV ou noticia de orgao publico localizada para a saida deste mandato; fonte_1 (g1.globo.com) e fonte_2 (acritica.com) registradas sao imprensa comum, mantidas como pista na ausencia de fonte melhor."
