item,igual,motivo
2014/AC/10000000152,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000171,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000613,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000614,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000120,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000125,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000183,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000184,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000206,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
2014/AC/10000000207,FALSE,"fonte devolve HTTP 403 ao httr2 nesta rodada (http original=200, gravado como -1 pela mesma convencao do Python); bloqueio por assinatura TLS/JA3, nao mudanca de conteudo -- confirmado tambem com curl padrao e com requests do Python sem impersonation (ver cabecalho de R/coleta/divulgacand_reeleicao.R)"
